id,song,artist,week,valence,track_id,lyrics
968,Love Again,Dua Lipa,2023-03-10,0.468,4rPkN1FMzQyFNP9cLUGIIB,
969,Лента за Лентою,ХАС,2023-03-10,0.703,0WcUxXoHhMbDQZxecUGbok,
970,Ocean Drive,Duke Dumont,2023-03-10,0.624,4b93D55xv3YCH5mT4p6HPn,
971,Regardless - Liu Remix,"RAYE, Rudimental, Liu",2023-03-10,0.752,7r3rR8Ex6nbBrpm49YAFEL,
972,Фортеця Бахмут,Antytila,2023-03-17,0.595,44FopWyaddRoiuNrD8hlUw,
973,Чекає вдома (feat. DOVI),"YAKTAK, DOVI",2023-03-17,0.702,5F9CLUvuRyku0ZdT4ljPQt,
974,Flowers,Miley Cyrus,2023-03-17,0.632,7DSAEUvxU8FajXtRloy8M0,
975,Там у тополі,"Artem Pivovarov, NK",2023-03-17,0.655,4TP5hCUeQ6QwYzPkTfxG6G,
976,Чути гімн,SKOFKA,2023-03-17,0.422,4Yzlz45QgjUKZmN2KrK4AP,
977,Додому,Wellboy,2023-03-17,0.219,6gtK39SLszESqJFu2SkId3,
978,Пробач,YAKTAK,2023-03-17,0.134,5pN1b9d11LxVNg24kIvyiE,
979,Біля серця,KOLA,2023-03-17,0.598,20SSuP71R4A88qHQu4BKY6,
980,"Ти щаслива будеш - Гай, зелений гай",Dima PROKOPOV,2023-03-17,0.492,2TTuBKeQWoukafWDPufIlq,
981,вотсап,DOROFEEVA,2023-03-17,0.142,7iGdK8FeeKfWiLR3Ax6phw,
982,High Come Down,Chico & Coolwadda,2023-03-17,0.667,4gc19xZ8SvONdW6ZVHlYSO,
983,Щоб не було,DOROFEEVA,2023-03-17,0.381,7krNeHssTmY3ijTox4OBbD,
984,Батьківщина,"SKOFKA, KALUSH",2023-03-17,0.502,33s2G0h9EOdyaKlKr15ngE,
985,Рандеву,Artem Pivovarov,2023-03-17,0.684,3R02XSW0lDknR5ZVFiTVrc,
986,Вечорниці - Добрий день Everybody,"100лиця, SKYLERR",2023-03-17,0.336,64Qnw6jO2dnkjV9una5peq,
987,Кукла колдуна,Korol i Shut,2023-03-17,0.635,2DYzsMQpO7xOw7b3JwyIWP,
988,Два вікна,The Hardkiss,2023-03-17,0.219,3gwHKlGINfCgBwBeEJ101L,
989,Маніфест,Artem Pivovarov,2023-03-17,0.422,0pWMr82unREASQGFJrrI5S,
990,Гарно так,CHEEV,2023-03-17,0.798,3yRDM5tBS7H8HG64y3x9kw,
991,Вишнi,Wellboy,2023-03-17,0.635,1xHs6PLjlvqihewyitoP3A,
992,Shot a friend,Holy Molly,2023-03-17,0.463,27yUNsQo2CPPokNw69M23X,
